Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
46,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,33-016,1990,7,6,430,4.8,0,1,1,0,0,0,2,0,0.3,0.3,0.8,1.1,4,21,25,0,0.21,0.21,0,0.21,0.06,0.17,0.23,0.06,0.23
47,Sander Berge,no NOR,MF,Burnley,25-271,1998,12,9,790,8.8,0,1,1,0,0,0,2,0,0.9,0.9,0.7,1.5,11,31,16,0,0.11,0.11,0,0.11,0.1,0.08,0.18,0.1,0.18
48,Luke Berry,eng ENG,MF,Luton Town,31-123,1992,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Beto,gw GNB,FW,Everton,25-285,1998,8,3,301,3.3,0,0,0,0,0,0,0,0,1.6,1.6,0.3,1.9,5,7,21,0,0,0,0,0,0.48,0.08,0.56,0.48,0.56
50,Jordan Beyer,de GER,DF,Burnley,23-177,2000,8,8,678,7.5,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,5,13,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
51,Philip Billing,dk DEN,MF,Bournemouth,27-154,1996,11,11,931,10.3,1,1,2,1,0,0,2,0,1.5,1.5,1.1,2.7,12,32,24,0.1,0.1,0.19,0.1,0.19,0.15,0.11,0.26,0.15,0.26
52,Yves Bissouma,ml MLI,MF,Tottenham,27-074,1996,11,11,884,9.8,0,0,0,0,0,0,7,1,0.9,0.9,0.3,1.2,27,68,5,0,0,0,0,0,0.1,0.03,0.12,0.1,0.12
53,Oscar Bobb,no NOR,"MF,FW",Manchester City,20-123,2003,4,0,53,0.6,0,1,1,0,0,0,0,0,0,0,0.6,0.6,4,7,6,0,1.7,1.7,0,1.7,0,1.04,1.04,0,1.04
54,Jayden Bogle,eng ENG,DF,Sheffield Utd,23-108,2000,8,7,568,6.3,1,0,1,1,0,0,1,0,0.6,0.6,0.3,1,8,10,17,0.16,0,0.16,0.16,0.16,0.1,0.05,0.15,0.1,0.15
55,Willy Boly,ci CIV,DF,Nott'ham Forest,32-282,1991,9,9,753,8.4,1,0,1,1,0,0,1,0,1.1,1.1,0.9,1.9,2,17,1,0.12,0,0.12,0.12,0.12,0.13,0.1,0.23,0.13,0.23
